Date;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Open;Index_Settlement_Value;Index_Value_high;Index_Value_low;Index_Close;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Valor_Number;ISIN;RIC;Instrument_Name;Nominal_Amount;Close_unadjusted_local;Accrued_interest;Yield_to_worst;Duration_to_worst;Mcap_Units_local;Mcap_Units_Index_Currency;Weight;Admission_Date;Deletion_Date;Last_Payment_Date;Next_Payment_Date;YTW_Flag;Earliest_Redemption_Date;Expiration_Date;Repayment_at_FC;Repayment_at_Maturity;Remaining_of_Maturity;SBI_Sector_Code;Coupon;Composite_Rating;FX_local_to_Index_Currency;Guarantee_Collateral_Code;Domicile_Code;Issuer_ID
2026-01-30;SBR14D;SBI AAA-BBB D;CH0027441929;Duration;CHF;;;;;7.12;1988;;;;868037;CH0008680370;CH868037=S;4 EIDG AP 98-28;5612455000;108.9900000;3.2444444;-0.100;2.082;6299107689;6299107689;;1998-10-01;2027-04-30;2025-04-08;2026-04-08;Maturity;2028-04-08;2028-04-08;100.0;100.0;2.27;Swiss Government;4.0000;AAA;1.0000000;51010100;CH;001086
2026-01-30;SBR14D;SBI AAA-BBB D;CH0027441929;Duration;CHF;;;;;7.12;1988;;;;1580323;CH0015803239;CH1580323=S;3.50 EIDG 03-33;4703860000;123.7400000;2.8388889;0.174;6.418;5954093723;5954093723;;2003-04-16;2032-04-30;2025-04-08;2026-04-08;Maturity;2033-04-08;2033-04-08;100.0;100.0;7.27;Swiss Government;3.5000;AAA;1.0000000;51010100;CH;001086
2026-01-30;SBR14D;SBI AAA-BBB D;CH0027441929;Duration;CHF;;;;;7.12;1988;;;;2452496;CH0024524966;CH2452496=S;2.50 EIDG 06-36;4571740000;122.7400000;2.2361111;0.222;9.013;5713582862;5713582862;;2006-03-15;2035-03-30;2025-03-08;2026-03-08;Maturity;2036-03-08;2036-03-08;100.0;100.0;10.19;Swiss Government;2.5000;AAA;1.0000000;51010100;CH;001086
2026-01-30;SBR14D;SBI AAA-BBB D;CH0027441929;Duration;CHF;;;;;7.12;1988;;;;22439700;CH0224397007;CH22439700=S;2 EIDG 14-64;3579555000;158.1500000;1.1944444;0.372;29.527;5703822028;5703822028;;2014-07-01;2063-06-29;2025-06-25;2026-06-25;Maturity;2064-06-25;2064-06-25;100.0;100.0;38.48;Swiss Government;2.0000;AAA;1.0000000;51010100;CH;001086
2026-01-30;SBR14D;SBI AAA-BBB D;CH0027441929;Duration;CHF;;;;;7.12;1988;;;;12718116;CH0127181169;CH12718116=S;1.50 EIDG 12-42;4365965000;116.8200000;1.1250000;0.426;14.558;5149437419;5149437419;;2012-05-02;2041-04-30;2025-04-30;2026-04-30;Maturity;2042-04-30;2042-04-30;100.0;100.0;16.33;Swiss Government;1.5000;AAA;1.0000000;51010100;CH;001086
2026-01-30;SBR14D;SBI AAA-BBB D;CH0027441929;Duration;CHF;;;;;7.12;1988;;;;12718119;CH0127181193;CH12718119=S;1.25 EIDG 12-37;4574274000;110.7600000;0.7395833;0.290;10.676;5100296451;5100296451;;2012-07-02;2036-06-30;2025-06-27;2026-06-27;Maturity;2037-06-27;2037-06-27;100.0;100.0;11.49;Swiss Government;1.2500;AAA;1.0000000;51010100;CH;001086
2026-01-30;SBR14D;SBI AAA-BBB D;CH0027441929;Duration;CHF;;;;;7.12;1988;;;;22439734;CH0224397346;CH22439734=S;0 EIDG 16-29;4992375000;100.1700000;0.0000000;-0.050;3.394;5000862038;5000862038;;2016-07-01;2028-06-30;2019-06-22;2020-06-22;Maturity;2029-06-22;2029-06-22;100.0;100.0;3.48;Swiss Government;0.0000;AAA;1.0000000;51010100;CH;001086
2026-01-30;SBR14D;SBI AAA-BBB D;CH0027441929;Duration;CHF;;;;;7.12;1988;;;;975519;CH0009755197;CH975519=S;4 EIDG JA 98-49;2790820000;177.1200000;0.2666667;0.452;17.427;4950542571;4950542571;;1999-01-29;2048-01-31;2026-01-06;2027-01-06;Maturity;2049-01-06;2049-01-06;100.0;100.0;23.01;Swiss Government;4.0000;AAA;1.0000000;51010100;CH;001086
2026-01-30;SBR14D;SBI AAA-BBB D;CH0027441929;Duration;CHF;;;;;7.12;1988;;;;34495849;CH0344958498;CH34495849=S;0.50 EIDG 17-45;4119700000;101.1500000;0.2944444;0.438;18.500;4179206778;4179206778;;2017-07-03;2044-06-30;2025-06-28;2026-06-28;Maturity;2045-06-28;2045-06-28;100.0;100.0;19.49;Swiss Government;0.5000;AAA;1.0000000;51010100;CH;001086
2026-01-30;SBR14D;SBI AAA-BBB D;CH0027441929;Duration;CHF;;;;;7.12;1988;;;;22439717;CH0224397171;CH22439717=S;0.50 EIDG 15-30;4049987000;102.0500000;0.3375000;0.026;4.276;4146680440;4146680440;;2015-06-01;2029-05-31;2025-05-27;2026-05-27;Maturity;2030-05-27;2030-05-27;100.0;100.0;4.41;Swiss Government;0.5000;AAA;1.0000000;51010100;CH;001086
