Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
03.10.2022;30.09.2027;CH1199660007;1.125;Stadt Lugano;01.09.2028;DN;AA;100000000;59100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2024;CH1189217990;1.25;SGS AG;05.09.2025;DN;A;150000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2024;CH1189218006;1.7;SGS AG;05.09.2029;DN;A;350000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;31.03.2028;CH1204259787;2.5;Axpo Holding AG;15.03.2029;DN;BBB;200000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2025;CH1204259779;2;Axpo Holding AG;15.09.2026;DN;BBB;300000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.06.2025;CH1204259761;1.05;Glarner Kantonalbank;19.06.2026;DN;AA;150000000;59100;Admission;;2022-09-29 11:19:00
03.10.2022;30.04.2036;CH1206367422;1.85;Pfandbriefzentrale der schweizerischen Kantonalbanken;02.04.2037;DN;AAA;265000000;62100;Admission;;2022-09-29 11:19:00
03.10.2022;31.05.2028;CH1206367406;1.5;Pfandbriefzentrale der schweizerischen Kantonalbanken;22.05.2029;DN;AAA;252000000;62100;Admission;;2022-09-29 11:19:00
03.10.2022;30.06.2025;CH1206367380;1.5;Geberit AG;14.09.2026;DN;A;200000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.06.2028;CH1206367398;1.75;Geberit AG;14.09.2029;DN;A;200000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2026;CH1210198144;2.717;Clariant AG;24.09.2027;DN;BBB;175000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2025;CH1206367430;2.2;Aeroport International de Geneve;22.09.2026;DN;BBB;100000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2026;CH1211713156;1.6075;Crédit Agricole next bank (Suisse) SA;23.09.2027;DN;AAA;100000000;62100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2031;CH1211713164;1.97;Crédit Agricole next bank (Suisse) SA;23.09.2032;DN;AAA;100000000;62100;Admission;;2022-09-29 11:19:00
03.10.2022;28.09.2029;CH1204259803;1.625;Kanton Tessin;19.09.2030;DN;AA;200000000;59100;Admission;;2022-09-29 11:19:00
03.10.2022;28.09.2029;CH1211713172;1.45;Kanton Neuenburg;23.09.2030;DN;A;100000000;59100;Admission;;2022-09-29 11:19:00
03.10.2022;28.09.2046;CH1214912029;2.05;Luzerner Kantonalbank AG;16.09.2047;DN;AA;100000000;59100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2031;CH1211713230;2;Roche Kapitalmarkt AG;23.09.2032;DN;AA;375000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.06.2025;CH1211713222;1.5;Roche Kapitalmarkt AG;23.06.2026;DN;AA;425000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2033;CH1211713214;2.0375;Transports publics genevois;29.09.2034;DN;AA;100000000;57100;Admission;;2022-09-29 11:19:00
03.10.2022;31.07.2036;CH1196217017;2.625;Romande Energie Holding SA;15.07.2037;DN;A;100000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2031;CH1212189158;2.75;LGT Bank AG;29.09.2032;DN;A;200000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2026;CH1211713248;3.25;AMAG Leasing AG;22.09.2027;DN;BBB;130000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;31.08.2033;CH1214797131;2;Pfandbriefbank schweizerischer Hypothekarinstitute;25.08.2034;DN;AAA;323000000;62100;Admission;;2022-09-29 11:19:00
03.10.2022;29.09.2028;CH1193213076;1.75;Basler Kantonalbank;21.09.2029;DN;AA;110000000;59100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2027;CH1204175124;1.915;Nationwide Building Society;08.09.2028;FC;A;365000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;29.09.2028;CH1204175140;1.24;Commonwealth Bank of Australia;02.09.2029;FC;AAA;250000000;62100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2024;CH1204175132;0.875;Commonwealth Bank of Australia;02.09.2025;FC;AAA;250000000;62100;Admission;;2022-09-29 11:19:00
03.10.2022;29.09.2028;CH1204259753;0.875;Asian Development Bank;13.09.2029;FS;AAA;100000000;55100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2026;CH1204259795;1.0225;AB Svensk Exportkredit;21.09.2027;FG;AA;210000000;57100;Admission;;2022-09-29 11:19:00
03.10.2022;29.09.2028;CH1142512362;2.8925;BNP Paribas;27.09.2029;FC;A;200000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2031;CH1204259811;1.95;Deutsche Bahn Finance GmbH, Berlin;21.09.2032;FC;AA;300000000;71100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2026;CH1211713206;1.35;Landeskreditbank Baden-Württemberg-Förderbank;30.09.2027;FG;AA;100000000;59100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2031;CH1212189133;1.68;Akademiska Hus AB;20.09.2032;FG;AA;100000000;57100;Admission;;2022-09-29 11:19:00
03.10.2022;29.09.2028;CH1213243871;1.8025;Westpac Banking Corporation;21.09.2029;FC;AAA;150000000;62100;Admission;;2022-09-29 11:19:00
03.10.2022;30.09.2025;CH1212189166;1.48;Westpac Banking Corporation;21.09.2026;FC;AAA;175000000;62100;Admission;;2022-09-29 11:19:00
