Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
02.02.2026;31.01.2031;CH1498422984;0.75;Zürcher Kantonalbank;27.01.2032;DN;AAA;160000000;52510100;Admission;;2026-01-28 10:59:04
02.02.2026;31.01.2035;CH1498422992;1;Zürcher Kantonalbank;25.01.2036;DN;AAA;125000000;52510100;Admission;;2026-01-28 10:59:04
02.02.2026;31.05.2032;CH1503892783;1;Kraftwerke Oberhasli AG;30.05.2033;DN;A;160000000;75510100;Admission;;2026-01-28 10:59:04
02.02.2026;31.03.2033;CH1512676839;1.35;Mobimo Holding AG;30.03.2034;DN;BBB;155000000;76015100;Admission;;2026-01-28 10:59:04
02.02.2026;31.01.2028;CH1512676912;0.435;UBS Switzerland AG;15.01.2029;DN;AAA;150000000;61515100;Admission;;2026-01-28 10:59:04
02.02.2026;31.01.2031;CH1512676920;0.745;UBS Switzerland AG;15.01.2032;DN;AAA;190000000;61515100;Admission;;2026-01-28 10:59:04
02.02.2026;31.01.2035;CH1512676938;1.0225;UBS Switzerland AG;15.01.2036;DN;AAA;345000000;61515100;Admission;;2026-01-28 10:59:04
02.02.2026;29.03.2030;CH1512676854;1.25;PLAZZA AG;31.03.2031;DN;BBB;100000000;76015100;Admission;;2026-01-28 10:59:04
02.02.2026;30.04.2032;CH1495868023;0.75;Pfandbriefbank schweizerischer Hypothekarinstitute AG;05.04.2033;DN;AAA;370000000;61010100;Admission;;2026-01-28 10:59:04
02.02.2026;31.05.2035;CH1495868031;0.875;Pfandbriefbank schweizerischer Hypothekarinstitute AG;09.05.2036;DN;AAA;200000000;61010100;Admission;;2026-01-28 10:59:04
02.02.2026;30.11.2039;CH1495868049;1.125;Pfandbriefbank schweizerischer Hypothekarinstitute AG;06.11.2040;DN;AAA;260000000;61010100;Admission;;2026-01-28 10:59:04
02.02.2026;31.07.2034;CH1513428404;0.9838;Crédit Agricole next bank (Suisse) SA;30.07.2035;DN;AAA;100000000;61515100;Admission;;2026-01-28 10:59:04
02.02.2026;31.01.2033;CH1485827419;1.3075;Metropolitan Life Global Funding I;16.01.2034;FC;AA;215000000;62510100;Admission;;2026-01-28 10:59:04
02.02.2026;31.01.2030;CH1512676821;0.63;Canadian Imperial Bank of  Commerce;20.01.2031;FC;AAA;325000000;61515100;Admission;;2026-01-28 10:59:04
02.02.2026;31.01.2033;CH1503892791;1.375;New York Life Global Funding;23.01.2034;FC;AA;200000000;62510100;Admission;;2026-01-28 10:59:04
02.02.2026;31.01.2040;CH1485827427;1.0825;BNG Bank N.V.;28.01.2041;FG;AAA;200000000;52015100;Admission;;2026-01-28 10:59:04
02.02.2026;31.01.2035;CH1520602934;0.8375;Asian Development Bank;30.01.2036;FS;AAA;155000000;51515100;Admission;;2026-01-28 10:59:04
02.02.2026;31.01.2040;CH1503892809;1.1075;Nederlandse Waterschapsbank N.V.;30.01.2041;FG;AAA;200000000;52015100;Admission;;2026-01-28 10:59:04
